Country,Region,Population,Area (sq. mi.),Literacy (%),Birthrate,Deathrate
Monaco ,WESTERN EUROPE                     ,32543,2,99,9.19,12.91
Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,1564116,97.8,21.59,6.95
Montserrat ,LATIN AMER. & CARIB    ,9439,102,97,17.59,7.1
Morocco ,NORTHERN AFRICA                    ,33241259,446550,51.7,21.98,5.58
Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,801590,47.8,35.18,21.35
Namibia ,SUB-SAHARAN AFRICA                 ,2044147,825418,84,24.32,18.86
Nauru ,OCEANIA                            ,13287,21,ND,24.76,6.7
Nepal ,ASIA (EX. NEAR EAST)         ,28287147,147181,45.2,30.98,9.31
Netherlands ,WESTERN EUROPE                     ,16491461,41526,99,10.9,8.68
Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,960,96.7,14.78,6.45
New Caledonia ,OCEANIA                            ,219246,19060,91,18.11,5.69
New Zealand ,OCEANIA                            ,4076140,268680,99,13.76,7.53
Nicaragua ,LATIN AMER. & CARIB    ,5570129,129494,67.5,24.51,4.45
Niger ,SUB-SAHARAN AFRICA                 ,12525094,1267000,17.6,50.73,20.91
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,923768,68,40.43,16.94
N. Mariana Islands ,OCEANIA                            ,82459,477,97,19.43,2.29
Norway ,WESTERN EUROPE                     ,4610820,323802,100,11.46,9.4
Oman ,NEAR EAST                          ,3102229,212460,75.8,36.24,3.81
Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,803940,45.7,29.74,8.23
Palau ,OCEANIA                            ,20579,458,92,18.03,6.8
Panama ,LATIN AMER. & CARIB    ,3191319,78200,92.6,21.74,5.36
Papua New Guinea ,OCEANIA                            ,5670544,462840,64.6,29.36,7.25
Paraguay ,LATIN AMER. & CARIB    ,6506464,406750,94,29.1,4.49
Peru ,LATIN AMER. & CARIB    ,28302603,1285220,90.9,20.48,6.23
Philippines ,ASIA (EX. NEAR EAST)         ,89468677,300000,92.6,24.89,5.41
Poland ,EASTERN EUROPE                     ,38536869,312685,99.8,9.85,9.89
Portugal ,WESTERN EUROPE                     ,10605870,92391,93.3,10.72,10.5
Puerto Rico ,LATIN AMER. & CARIB    ,3927188,13790,94.1,12.77,7.65
Qatar ,NEAR EAST                          ,885359,11437,82.5,15.56,4.72
Reunion ,SUB-SAHARAN AFRICA                 ,787584,2517,88.9,18.9,5.49
Romania ,EASTERN EUROPE                     ,22303552,237500,98.4,10.7,11.77
Russia ,C.W. OF IND. STATES ,142893540,17075200,99.6,9.95,14.65
Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,26338,70.4,40.37,16.09
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,413,97,12.13,6.53
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,261,97,18.02,8.33
Saint Lucia ,LATIN AMER. & CARIB    ,168458,616,67,19.68,5.08
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,242,99,13.52,6.83
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,389,96,16.18,5.98
Samoa ,OCEANIA                            ,176908,2944,99.7,16.43,6.62
San Marino ,WESTERN EUROPE                     ,29251,61,96,10.02,8.17
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,1001,79.3,40.25,6.47
Saudi Arabia ,NEAR EAST                          ,27019731,1960582,78.8,29.34,2.58
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,196190,40.2,32.78,9.42
Serbia ,EASTERN EUROPE                     ,9396411,88361,93,,
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,455,58,16.03,6.29
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,71740,31.4,45.76,23.03
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,693,92.5,9.34,4.28
Slovakia ,EASTERN EUROPE                     ,5439448,48845,ND,10.65,9.45
Slovenia ,EASTERN EUROPE                     ,2010347,20273,99.7,8.98,10.31
Solomon Islands ,OCEANIA                            ,552438,28450,ND,30.01,3.92
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,637657,37.8,45.13,16.63
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,1219912,86.4,18.2,22
Spain ,WESTERN EUROPE                     ,40397842,504782,97.9,10.06,9.72
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,65610,92.3,15.51,6.52
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,2505810,61.1,34.53,8.97
Suriname ,LATIN AMER. & CARIB    ,439117,163270,93,18.02,7.27
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,17363,81.6,27.41,29.74
Sweden ,WESTERN EUROPE                     ,9016596,449964,99,10.27,10.31
Switzerland ,WESTERN EUROPE                     ,7523934,41290,99,9.71,8.49
Syria ,NEAR EAST                          ,18881361,185180,76.9,27.76,4.81
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,35980,96.1,12.56,6.48
